Plan_Code,Client,Platform,NYFlag,ChildCompanyID,HeaderLogo,HeaderLogo_Position_x,HeaderLogo_Position_y,HeaderLogo_Width,HeaderLogo_Height,Company_Text,Company_Text_Position_x,Company_Text_Position_y,Company_Text_Width,Company_Text_Height,Company_ShowFlag,Address,Address_Position_x,Address_Position_y,Address_Width,Address_Height,Address_ShowFlag,PhoneNumber,ServiceCenter,ServiceCenterHours,FaxNumber,ProductType,Broker_Dealer_Services,Footer,Footer_Position_x,Footer_Position_y,Footer_Width,Footer_Height,Email_Address,Web_Address,Client_Abbrv,Budget_Center,Reply_Envelope,Inserter_Stock,Tray,CompanyCode,DOL_Disclosure,Disclosure_Position_x,Disclosure_Position_y,Disclosure_Position_Width,Disclosure_Position_Height,Secondary_Logo,SecLogo_Position_x,SecLogo_Position_y,SecLogo_Position_Width,SecLogo_Position_Height,Product_Description,MailingPageLogo_Pos_x,MailingPageLogo_Pos_y,Payment Company Address
139,Commonwealth,LC,Y,892878967,Images/LTRPIOR.jpg,36.00,36.00,140.00,26.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,36.00,66.00,175.00,20.00,TRUE,1-800-688-9915,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_138.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSP,2101,hash4: GS PIONEER REPLY ENV,65-21031-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
140,Commonwealth,LC,N,892878966,Images/LTRSCUD.jpg,36.00,36.00,140.00,20.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,36.00,60.00,175.00,20.00,TRUE,1-800-782-8380,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_140_253.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSSG,2101,hash4: GS SCUDDER GATEWAY REPLY ENV,65-21050-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
141,Commonwealth,LC,N,892878966,Images/LTRSCUD.jpg,36.00,36.00,140.00,20.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,36.00,60.00,175.00,20.00,TRUE,1-800-782-8380,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_140_253.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSSG,2101,hash4: GS SCUDDER GATEWAY REPLY ENV,65-21050-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
142,Commonwealth,LC,N,892878966,Images/LTRSCUD.jpg,36.00,36.00,140.00,20.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,36.00,60.00,175.00,20.00,TRUE,1-800-782-8380,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_140_253.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSSG,2101,hash4: GS SCUDDER GATEWAY REPLY ENV,65-21050-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
143,Commonwealth,LC,Y,892878967,Images/LTRSCUD.jpg,36.00,36.00,140.00,20.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,36.00,60.00,175.00,20.00,TRUE,1-800-782-8380,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_140_253.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSSG,2101,hash4: GS SCUDDER GATEWAY REPLY ENV,65-21050-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
144,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
145,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
146,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
147,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
148,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
149,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
150,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
151,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
152,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
153,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-366-1492,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_129_257.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
154,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
155,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-366-1492,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_129_257.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
156,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
157,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-366-1492,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_129_257.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
158,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
159,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
160,Commonwealth,LC,Y,892878967,Images/LTRALLM.jpg,36.00,36.00,153.50,24.00,First Allmerica Financial Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,195.00,39.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_126_178_165.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSAMVA,2101,hash4: GS ALLMERICA VA REPLY ENV ,65-21021-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
161,Commonwealth,LC,N,892878966,Images/LTRDELW.jpg,36.00,36.00,54.50,54.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,53.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
162,Commonwealth,LC,Y,892878967,Images/LTRDELW.jpg,36.00,36.00,54.50,54.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,53.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
163,Commonwealth,LC,N,892878966,Images/LTRDELW.jpg,36.00,36.00,54.50,54.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,53.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
164,Commonwealth,LC,N,892878966,Images/LTRDELW.jpg,36.00,36.00,54.50,54.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,53.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
165,Commonwealth,LC,N,892878966,Images/LTRDELW.jpg,36.00,36.00,54.50,54.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,53.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
166,Commonwealth,LC,Y,892878967,Images/LTRDELW.jpg,36.00,36.00,54.50,54.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,97.00,53.00,175.00,46.00,TRUE,1-800-533-2124,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_135.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,36.00,36.00,
167,Commonwealth,LC,N,892878966,Images/LTRCOMW.jpg,27.00,14.00,185.10,52.00,Commonwealth Annuity and Life Insurance Company,,,,,TRUE,P.O. Box 758550ENDLINETopeka  KS 66675-8550,214.00,33.00,175.00,46.00,TRUE,1-800-533-7881,Client Services,7:30 AM to 5:00 PM Central Time,,VA,,RTFs/Footer/CWAGlobalAtlantic_125_244_245_266.rtf,67.00,700.00,475.00,90.00,,http://cwannuity.se2.com,GSCMVA,2101,hash4: GS COMMONWEALTH VA REPLY ENV,65-21501-03,4,GS Commonwealth,,,,,,,,,,,,27.00,14.00,
